2;1;2023-06-01 07:34:16.009287+00:00;True
3;2;2023-06-01 10:10:14.613112+00:00;True
4;3;2023-06-02 13:57:14.093446+00:00;True
5;4;2023-06-02 14:00:05.326870+00:00;True
6;5;2023-06-02 14:23:47.965767+00:00;True
7;6;2023-06-02 14:29:15.405898+00:00;True
8;7;2023-06-02 14:37:00.878240+00:00;True
9;8;2023-06-02 14:44:52.399259+00:00;True
10;9;2023-06-02 15:04:02.572465+00:00;True
11;10;2023-06-06 09:48:24.595826+00:00;True
12;11;2023-06-06 09:51:32.319049+00:00;True
13;12;2023-06-06 18:48:44.993942+00:00;True
